coverlip code,treatment,values
C,MTMR2,26.928
C,MTMR2,41.513
C,MTMR2,21.952
C,MTMR2,12.857
C,MTMR2,27.175
C,MTMR2,12.946
C,MTMR2,56.343
C,MTMR2,66.402
C,MTMR2,37.612
C,MTMR2,23.206
C,MTMR2,6.209
C,MTMR2,26.154
C,MTMR2,49.262
C,MTMR2,12.716
C,MTMR2,78.479
C,MTMR2,54.493
C,MTMR2,107.008
C,MTMR2,23.539
C,MTMR2,17.556
C,MTMR2,20.934
C,MTMR2,73.97
C,MTMR2,58.099
C,MTMR2,118.124
C,MTMR2,30.925
C,MTMR2,10.348
C,MTMR2,5.251
C,MTMR2,32.57
C,MTMR2,10.205
C,MTMR2,52.976
C,MTMR2,95.743
C,MTMR2,43.644
C,MTMR2,106.237
C,MTMR2,44.755
C,MTMR2,59.024
C,MTMR2,44.98
C,MTMR2,18.544
C,MTMR2,42.761
C,MTMR2,74.421
C,MTMR2,11.579
C,MTMR2,78.333
C,MTMR2,35.309
C,MTMR2,12.455
C,MTMR2,10.481
C,MTMR2,52.99
C,MTMR2,116.533
C,MTMR2,22.621
C,MTMR2,35.727
C,MTMR2,42.853
C,MTMR2,16.294
C,MTMR2,13.122
C,MTMR2,15.644
C,MTMR2,143.792
C,MTMR2,49.936
C,MTMR2,84.83
C,MTMR2,33.033
C,MTMR2,17.421
C,MTMR2,24.941
C,MTMR2,35.018
C,MTMR2,53.73
C,MTMR2,14.333
C,MTMR2,91.375
C,MTMR2,9.158
C,MTMR2,64.196
C,MTMR2,67.392
C,MTMR2,14.57
C,MTMR2,13.257
C,MTMR2,38.017
C,MTMR2,61.082
C,MTMR2,72.904
C,MTMR2,91.528
C,MTMR2,6.581
C,MTMR2,22.808
C,MTMR2,28.737
C,MTMR2,5.535
C,MTMR2,86.889
C,MTMR2,51.1
C,MTMR2,5.077
C,MTMR2,58.283
C,MTMR2,4.875
C,MTMR2,27.951
C,MTMR2,31.517
C,MTMR2,35.121
C,MTMR2,5.409
C,MTMR2,95.447
C,MTMR2,11.093
C,MTMR2,24.592
C,MTMR2,22.708
C,MTMR2,92.745
C,MTMR2,11.541
C,MTMR2,44.484
C,MTMR2,48.09
C,MTMR2,85.277
C,MTMR2,4.95
C,MTMR2,43.411
C,MTMR2,21.649
Q,ca-rab21,15.938
Q,ca-rab21,11.207
Q,ca-rab21,31.122
Q,ca-rab21,64.322
Q,ca-rab21,62.416
Q,ca-rab21,17.18
Q,ca-rab21,14.427
Q,ca-rab21,6.209
Q,ca-rab21,69.821
Q,ca-rab21,17.52
Q,ca-rab21,11.282
Q,ca-rab21,100.861
Q,ca-rab21,34.711
Q,ca-rab21,37.203
Q,ca-rab21,20.601
Q,ca-rab21,71.507
Q,ca-rab21,76.194
Q,ca-rab21,53.839
Q,ca-rab21,41.246
Q,ca-rab21,17.062
Q,ca-rab21,49.964
Q,ca-rab21,93.676
Q,ca-rab21,8.047
Q,ca-rab21,61.192
Q,ca-rab21,23.697
Q,ca-rab21,33.307
Q,ca-rab21,41.761
Q,ca-rab21,26.762
Q,ca-rab21,100.64
Q,ca-rab21,6.31
Q,ca-rab21,5.993
Q,ca-rab21,36.941
Q,ca-rab21,36.194
Q,ca-rab21,32.326
Q,ca-rab21,58.183
Q,ca-rab21,95.237
Q,ca-rab21,116.081
Q,ca-rab21,28.542
Q,ca-rab21,98.98
Q,ca-rab21,36.296
Q,ca-rab21,59.651
Q,ca-rab21,38.741
Q,ca-rab21,94.243
Q,ca-rab21,55.856
Q,ca-rab21,34.447
Q,ca-rab21,32.726
